total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,value_target_mean,value_target_std,value_prediction_mean_pre,value_prediction_std_pre,explained_variance_pre,actor_grad_norm_max,critic_grad_norm_max,actor_grad_clip_fraction,critic_grad_clip_fraction,value_normalizer_mean,value_normalizer_std,value_normalizer_count,hard_speed_accel_violations,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,5,132.97679367983102,111.0,-0.005508105870103463,599.5457084655761,-0.23967664390802385,0.005321519305289258,0.0485107421875,0.5129142075777053,126.31986980438232,32.24414825439453,15.827075004577637,32.177513122558594,15.789359092712402,-0.0666363313794136,0.14118117094039917,-0.004783012234199413,1.104789137840271,178.07371520996094,0.375,1.0,0.0,1.0,0.0,0.0,0.0718463733792305,0.22734187543392181,0.0,0.25554344058036804,0.2566744387149811,0.25783175230026245,-1.4997551441192627,-1.4976273775100708,-1.495467185974121,0.0,1.0
2048,2,10,132.33923706121536,114.3,-0.004306840396020561,482.9988525390625,-0.23252049162983895,0.003741035537677817,0.030712890625,0.47276568189263346,83.64622802734375,26.997547149658203,17.19635772705078,27.138320922851562,15.89587116241455,0.1407742202281952,2.2772722244262695,-0.1703189975555579,0.8329041004180908,111.7282943725586,0.375,1.0,0.0,1.0,0.0,0.0,0.07201239466667175,0.22667983174324036,0.0,0.2565050721168518,0.2578885555267334,0.26009026169776917,-1.4979525804519653,-1.4953795671463013,-1.4912400245666504,0.0,1.0
3072,3,8,123.91474102716053,114.625,-0.0037485308945178985,372.9147468566895,-0.23051476776599883,0.0029057688734610565,0.018505859375,0.5265245266258717,104.90518169403076,23.735103607177734,16.019573211669922,25.339927673339844,15.185226440429688,1.6048249006271362,2.3740649223327637,-0.1129081235019378,1.0357731580734253,131.1125946044922,0.45,1.0,0.0,1.0,0.0,0.0,0.0673171877861023,0.2264866828918457,0.0,0.2562108635902405,0.2571354806423187,0.2587754428386688,-1.4985039234161377,-1.4967904090881348,-1.493700385093689,0.0,1.0
4096,4,9,120.69187181704358,99.88888888888889,-0.00386643783422187,410.7343620300293,-0.23636310696601867,0.0059276556930853985,0.0310546875,0.5350527051836252,111.47164173126221,26.208656311035156,14.880478858947754,26.469100952148438,15.468942642211914,0.2604454457759857,2.907196521759033,0.07463610411444987,0.8841342926025391,129.68228149414062,0.5,1.0,0.0,1.0,0.0,0.0,0.06279650330543518,0.22797976434230804,0.0,0.25482091307640076,0.25618529319763184,0.25706344842910767,-1.5011099576950073,-1.4985460042953491,-1.4969062805175781,0.0,1.0
5120,5,9,137.27601121603448,121.44444444444444,-0.002685296238632873,405.6116172790527,-0.23820484876632692,0.0027516502261278218,0.02763671875,0.5237320207059384,145.69714908599855,25.906639099121094,15.342276573181152,26.519351959228516,18.573863983154297,0.6127128005027771,5.39538049697876,0.31770045467552777,0.9594715237617493,174.16751098632812,0.575,1.0,0.0,1.0,0.0,0.0,0.06829079240560532,0.22952358424663544,0.0,0.2546929717063904,0.2565302550792694,0.258439838886261,-1.501349925994873,-1.4979056119918823,-1.4943286180496216,0.0,1.0
6144,6,8,155.92664211378775,132.25,-0.004734239791287109,471.28417205810547,-0.23550578132271766,0.005458091621403582,0.0467529296875,0.5521461587399245,212.632820892334,27.648067474365234,16.83889389038086,31.573089599609375,20.740324020385742,3.925022840499878,5.8000168800354,0.34083213874780294,1.0713306665420532,228.91082763671875,0.525,1.0,0.0,1.0,0.0,0.0,0.06437589973211288,0.22759617865085602,0.0,0.2550506591796875,0.25683721899986267,0.25904566049575806,-1.5006791353225708,-1.4973220825195312,-1.493194580078125,0.0,1.0
7168,7,10,145.3764523081839,118.4,-0.003289475676137954,355.8441497802734,-0.23512814417481423,0.0032254874880891294,0.0187744140625,0.47556549943983556,203.4881534576416,23.92147445678711,16.442092895507812,28.15630531311035,18.112960815429688,4.234827995300293,5.4950761795043945,0.17598471874921628,0.9420217871665955,252.59788513183594,0.425,1.0,0.0,1.0,0.0,0.0,0.06980106979608536,0.23148220777511597,0.0,0.25270316004753113,0.2568363547325134,0.2607065737247467,-1.5050840377807617,-1.497329592704773,-1.4900873899459839,0.0,1.0
8192,8,8,127.46514705727188,109.875,-0.00415142529818695,325.4845375061035,-0.234758935123682,0.003720689161855262,0.032568359375,0.5414929445832968,211.77654495239258,24.26870346069336,13.093581199645996,30.1060791015625,17.91777801513672,5.837375640869141,8.208640098571777,0.465990975371927,0.9357397556304932,255.04295349121094,0.525,1.0,0.0,1.0,0.0,0.0,0.06718135625123978,0.23076780140399933,0.0,0.25082647800445557,0.25699904561042786,0.26252281665802,-1.5086091756820679,-1.4970320463180542,-1.4866926670074463,0.0,1.0
9216,9,7,149.2691910378117,118.0,-0.005082613253034651,378.14075164794923,-0.22891941741108895,0.006913806858938188,0.0466552734375,0.5647347144782543,259.44383392333987,26.281238555908203,14.720523834228516,34.64012145996094,19.424989700317383,8.358880996704102,7.449097156524658,0.4257183809585474,1.0139195919036865,368.37115478515625,0.6,1.0,0.0,1.0,0.0,0.0,0.06279458850622177,0.23123803734779358,0.0,0.2537509799003601,0.2592757046222687,0.2635742425918579,-1.5031172037124634,-1.4927864074707031,-1.4847288131713867,0.0,1.0
10240,10,9,148.8771789338261,122.0,-0.003984473564196378,417.6238700866699,-0.2160780295729637,0.0033664004120510073,0.0212890625,0.4715387005358934,258.85801277160647,25.550819396972656,16.43143653869629,38.85893249511719,21.188194274902344,13.308111190795898,6.824968338012695,0.3986003868247213,0.8993144035339355,294.64764404296875,0.35,1.0,0.0,1.0,0.0,0.0,0.05340663716197014,0.23356640338897705,0.0,0.2563653290271759,0.26109328866004944,0.26631227135658264,-1.4982144832611084,-1.4893513917922974,-1.4796198606491089,0.0,1.0
