total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,value_target_mean,value_target_std,value_prediction_mean_pre,value_prediction_std_pre,explained_variance_pre,actor_grad_norm_max,critic_grad_norm_max,actor_grad_clip_fraction,critic_grad_clip_fraction,value_normalizer_mean,value_normalizer_std,value_normalizer_count,hard_speed_accel_violations,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,5,124.65272024242786,109.0,-0.00461758543679025,297.9291904449463,-0.2446928523480892,0.0027649259121972137,0.02900390625,0.475223633646965,77.46668100357056,22.528980255126953,11.866594314575195,22.39771270751953,11.861878395080566,-0.13126736879348755,0.12368156015872955,-0.0007954794475075744,0.7622240781784058,110.03142547607422,0.375,1.0,0.0,1.0,0.0,0.0,-0.05921660736203194,0.2256142795085907,0.0,0.25418785214424133,0.2550255358219147,0.25580698251724243,-1.5022975206375122,-1.500730037689209,-1.4992610216140747,0.0,1.0
2048,2,5,143.82237751214402,140.0,-0.0050463223713450136,319.19397354125977,-0.2444372780621052,0.004220047683338635,0.031201171875,0.5005707956850529,79.9299705505371,22.78093719482422,13.352707862854004,23.454708099365234,12.1297607421875,0.6737716197967529,2.1356894969940186,-0.2118088779948566,1.1130656003952026,111.55599975585938,0.45,1.0,0.0,1.0,0.0,0.0,-0.06043937802314758,0.23054400086402893,0.0,0.2531003952026367,0.2556168735027313,0.25774669647216797,-1.504338264465332,-1.499604344367981,-1.495626449584961,0.0,1.0
3072,3,6,158.56285802663447,153.16666666666666,-0.004499010281870141,356.33410415649416,-0.24019016623497008,0.005243636737577617,0.0423828125,0.5201369065791368,91.06138362884522,22.89470672607422,16.259824752807617,22.968482971191406,14.47346019744873,0.0737759917974472,2.7705795764923096,-0.26208021700792683,1.219117522239685,114.48118591308594,0.425,1.0,0.0,1.0,0.0,0.0,-0.05809776857495308,0.2239806354045868,0.0,0.2540034353733063,0.2563492953777313,0.2582593858242035,-1.5026434659957886,-1.4982314109802246,-1.4946664571762085,0.0,1.0
4096,4,8,167.2711395871544,141.625,-0.0022748368326574566,312.12606582641604,-0.23562009036540985,0.0030971012252848595,0.0179443359375,0.5533935625106097,113.44237422943115,23.404273986816406,11.722475051879883,25.20355987548828,12.37559700012207,1.7992832660675049,2.364184617996216,0.1027648118541361,1.0663396120071411,135.7475128173828,0.475,1.0,0.0,1.0,0.0,0.0,-0.05152198672294617,0.2257457971572876,0.0,0.2545144855976105,0.2572230398654938,0.2608966529369354,-1.5016846656799316,-1.496613621711731,-1.489732027053833,0.0,1.0
5120,5,7,160.67135300423232,136.14285714285714,-0.0034967865562066437,252.15196800231934,-0.22781584039330482,0.003352863992040511,0.0257568359375,0.5049637734889985,132.26260929107667,21.129043579101562,11.420827865600586,23.6065673828125,13.554264068603516,2.4775266647338867,4.659395694732666,0.2900246863161,0.8096919059753418,147.7061309814453,0.475,1.0,0.0,1.0,0.0,0.0,-0.054939139634370804,0.2273038923740387,0.0,0.25762972235679626,0.25917479395866394,0.26200369000434875,-1.4958455562591553,-1.4929696321487427,-1.4876625537872314,0.0,1.0
6144,6,8,161.22585235118535,150.125,-0.003887641546316445,220.3880359649658,-0.22180585116147994,0.0024358630485949106,0.0250732421875,0.5176324047148227,150.46607360839843,19.64055633544922,12.720447540283203,21.018348693847656,16.851228713989258,1.377790927886963,6.454866886138916,0.4301747909110146,0.8983098864555359,174.86740112304688,0.5,1.0,0.0,1.0,0.0,0.0,-0.047526758164167404,0.2260303795337677,0.0,0.25635045766830444,0.2589714825153351,0.2624797523021698,-1.4982423782348633,-1.4933338165283203,-1.4867730140686035,0.0,1.0
7168,7,8,180.82704906584377,146.375,-0.0025248967809602617,230.95135765075685,-0.22361058816313745,0.002669605441042222,0.01669921875,0.4988372206687927,164.8967586517334,20.42448616027832,10.8075590133667,26.415517807006836,14.496435165405273,5.991032123565674,5.65956449508667,0.4441818054155574,0.8995309472084045,174.3447265625,0.4,1.0,0.0,1.0,0.0,0.0,-0.0529756061732769,0.22547638416290283,0.0,0.2548275291919708,0.25887537002563477,0.26283955574035645,-1.501097559928894,-1.4935073852539062,-1.4861009120941162,0.0,1.0
8192,8,5,155.44169701710138,162.6,-0.0037077775923535228,190.9713451385498,-0.22307832390069962,0.0020037934416905047,0.0341552734375,0.5319364942610264,180.35473594665527,18.377582550048828,12.549718856811523,24.02980613708496,17.33930206298828,5.6522216796875,6.871462821960449,0.47615269654654524,1.1521852016448975,249.49264526367188,0.525,1.0,0.0,1.0,0.0,0.0,-0.041574448347091675,0.2271253615617752,0.0,0.2530762851238251,0.25902706384658813,0.26421692967414856,-1.5043835639953613,-1.4932570457458496,-1.483528971672058,0.0,1.0
9216,9,7,195.51012990855568,173.71428571428572,-0.0046376526704989375,202.99845275878906,-0.22451439052820205,0.005222886840056162,0.032958984375,0.477701261267066,172.5903003692627,19.21576690673828,10.993993759155273,26.52979850769043,17.414634704589844,7.314029693603516,9.087264060974121,0.6014505187301542,0.9098106026649475,200.6098175048828,0.425,1.0,0.0,1.0,0.0,0.0,-0.047563064843416214,0.22606261074543,0.0,0.2514035105705261,0.2584848403930664,0.26323309540748596,-1.5075249671936035,-1.494240403175354,-1.485365867614746,0.0,1.0
10240,10,7,133.769033365967,127.14285714285714,-0.005320333392592147,183.73162498474122,-0.2280941478908062,0.006027348390489351,0.051318359375,0.5812060035765171,156.4194694519043,15.10263729095459,15.200830459594727,22.747541427612305,21.80890655517578,7.644904136657715,11.556262969970703,0.5141895544290488,1.1097776889801025,224.20034790039062,0.625,1.0,0.0,1.0,0.0,0.0,-0.0417301170527935,0.22390571236610413,0.0,0.25172099471092224,0.25751328468322754,0.2615160346031189,-1.506928563117981,-1.4960466623306274,-1.4885740280151367,0.0,1.0
11264,11,7,184.4247356572495,163.71428571428572,-0.003869285382097587,221.52766342163085,-0.23050839453935623,0.006130172817211133,0.0418701171875,0.5425309620797634,173.87950706481934,19.44396209716797,12.17659854888916,31.639116287231445,16.79669952392578,12.195152282714844,11.989762306213379,0.4744620216455028,1.0841429233551025,201.4999542236328,0.6,1.0,0.0,1.0,0.0,0.0,-0.06065274402499199,0.22596389055252075,0.0,0.2524353861808777,0.25824034214019775,0.2634827494621277,-1.505586862564087,-1.4947024583816528,-1.484899640083313,0.0,1.0
12288,12,7,151.0775416268526,138.42857142857142,-0.004036427906248719,166.08738021850587,-0.22602861747145653,0.004411619216261898,0.0332763671875,0.4927338000386953,164.45681648254396,15.917608261108398,11.702035903930664,29.602367401123047,20.021615982055664,13.684757232666016,10.542447090148926,0.6583946840881011,0.9136187434196472,215.8214569091797,0.4,1.0,0.0,1.0,0.0,0.0,-0.052247095853090286,0.22216591238975525,0.0,0.25272154808044434,0.2586267292499542,0.26325035095214844,-1.505049467086792,-1.4939793348312378,-1.4853336811065674,0.0,1.0
13312,13,7,148.78184562832817,142.14285714285714,-0.004668260138714686,169.91684036254884,-0.2235785812139511,0.0056247457541758195,0.035205078125,0.5609982863068581,155.63729820251464,12.81626033782959,14.846677780151367,29.3841552734375,22.845218658447266,16.567893981933594,11.06175422668457,0.5776544359667322,1.2383798360824585,178.99708557128906,0.55,1.0,0.0,1.0,0.0,0.0,-0.053115058690309525,0.22469764947891235,0.0,0.25345659255981445,0.25927573442459106,0.26608356833457947,-1.5036697387695312,-1.492790699005127,-1.480046272277832,0.0,1.0
14336,14,5,155.93670637860657,149.2,-0.004850057396106422,169.53416862487794,-0.22151217386126518,0.00376443279965315,0.0459716796875,0.5388505518436432,156.21783676147462,17.58988380432129,9.8059720993042,30.598857879638672,21.83860206604004,13.008974075317383,16.417137145996094,0.7983809141460556,0.9975115656852722,198.53184509277344,0.475,1.0,0.0,1.0,0.0,0.0,-0.0523151271045208,0.22667331993579865,0.0,0.2520490884780884,0.25910958647727966,0.26683905720710754,-1.5063122510910034,-1.4931062459945679,-1.4786376953125,0.0,1.0
15360,15,7,207.32397970514882,177.71428571428572,-0.004461834131507203,187.31812744140626,-0.2218184217810631,0.004581184643029701,0.0322509765625,0.47154609113931656,169.82081832885743,17.45767593383789,10.916549682617188,36.49587631225586,19.244243621826172,19.03820037841797,11.719438552856445,0.6782125583598836,0.8544479012489319,208.5140380859375,0.325,1.0,0.0,1.0,0.0,0.0,-0.046102385967969894,0.22301079332828522,0.0,0.25283950567245483,0.2594965994358063,0.26720088720321655,-1.5048279762268066,-1.4923847913742065,-1.4779633283615112,0.0,1.0
16384,16,9,154.46114449985373,143.33333333333334,-0.00393369602970779,168.33971138000487,-0.21924126334488392,0.0040442625831929035,0.0262451171875,0.5088786862790584,141.9603162765503,12.27797794342041,15.184699058532715,35.96708679199219,20.496618270874023,23.689109802246094,10.622910499572754,0.4511573386707739,1.0055042505264282,169.46261596679688,0.5,1.0,0.0,1.0,0.0,0.0,-0.04319307208061218,0.22309541702270508,0.0,0.25386741757392883,0.25984570384025574,0.2672910988330841,-1.5028986930847168,-1.4917227029800415,-1.477795124053955,0.0,1.0
17408,17,6,164.16651718841993,147.16666666666666,-0.004686991486232727,133.53060188293458,-0.21717492938041688,0.004062586445070337,0.0308837890625,0.49707098975777625,128.55526790618896,12.50685977935791,12.482439994812012,30.976390838623047,23.912817001342773,18.469532012939453,18.592742919921875,0.7275181985540585,0.8594250679016113,202.4195098876953,0.475,1.0,0.0,1.0,0.0,0.0,-0.04950883984565735,0.22408345341682434,0.0,0.25531330704689026,0.2603919208049774,0.2670731246471405,-1.500186562538147,-1.490704894065857,-1.4782013893127441,0.0,1.0
18432,18,8,171.49458163418075,141.0,-0.003914504288695752,183.16761932373046,-0.21305995918810366,0.002313124225474894,0.0255615234375,0.5145435936748981,166.84585304260253,17.16413116455078,10.568304061889648,41.38001251220703,19.745744705200195,24.215877532958984,14.034626007080078,0.7135402627592904,0.9637320041656494,209.72325134277344,0.375,1.0,0.0,1.0,0.0,0.0,-0.054405856877565384,0.22460098564624786,0.0,0.2578689157962799,0.2610430419445038,0.266280859708786,-1.4953975677490234,-1.4894815683364868,-1.4796783924102783,0.0,1.0
19456,19,9,158.579749180352,129.33333333333334,-0.0030558683851268143,144.21270561218262,-0.21341567374765874,0.0054117524632602,0.0245849609375,0.5435017492622137,138.77874355316163,12.62413215637207,12.600396156311035,41.79199981689453,17.725156784057617,29.16786766052246,9.40124797821045,0.49465474011454347,1.001697063446045,154.53521728515625,0.5,1.0,0.0,1.0,0.0,0.0,-0.0613568015396595,0.22861963510513306,0.0,0.2555716931819916,0.26025357842445374,0.26565641164779663,-1.4997020959854126,-1.490949034690857,-1.4808430671691895,0.0,1.0
20480,20,5,152.40173281146477,140.2,-0.002926362783182412,116.40305786132812,-0.2145650014281273,0.0032051664209575394,0.025927734375,0.47989786714315413,118.02627372741699,10.964025497436523,12.838666915893555,30.378555297851562,27.21947479248047,19.41452980041504,22.704776763916016,0.7775254217953529,0.8525377511978149,218.80618286132812,0.425,1.0,0.0,1.0,0.0,0.0,-0.07116367667913437,0.2269107848405838,0.0,0.2547391653060913,0.2610110640525818,0.2668270766735077,-1.5012632608413696,-1.489511489868164,-1.4786601066589355,0.0,1.0
21504,21,6,164.03353391985686,152.66666666666666,-0.0033114560472313316,208.28774147033693,-0.20990244597196578,0.001887017150875181,0.0218505859375,0.45260776318609713,152.01202659606935,15.419351577758789,14.689288139343262,44.53771209716797,23.47279167175293,29.118358612060547,17.874778747558594,0.6083735950999449,1.3991985321044922,173.84120178222656,0.325,1.0,0.0,1.0,0.0,0.0,-0.07256413251161575,0.2269854098558426,0.0,0.2544453740119934,0.26163768768310547,0.26943355798721313,-1.501814365386963,-1.4883594512939453,-1.4738047122955322,0.0,1.0
22528,22,8,182.5866496850422,154.125,-0.003426544880494475,145.28638134002685,-0.20590413808822633,0.003731487139884848,0.020458984375,0.5598407588899136,140.04206790924073,13.52662467956543,12.101631164550781,41.23600769042969,23.36101722717285,27.709383010864258,16.461933135986328,0.731648317717717,1.1962023973464966,177.52947998046875,0.575,1.0,0.0,1.0,0.0,0.0,-0.06118129566311836,0.22406895458698273,0.0,0.25616922974586487,0.2626381516456604,0.27094587683677673,-1.4985820055007935,-1.4864821434020996,-1.4709904193878174,0.0,1.0
23552,23,6,155.21415602287996,144.66666666666666,-0.0038694633287377654,182.18148384094238,-0.20125842429697513,0.0030159725734847597,0.02958984375,0.5139093790203333,158.38763084411622,15.83316421508789,12.250125885009766,45.77145767211914,25.37433433532715,29.93829345703125,18.15786361694336,0.7669270933542622,0.8730029463768005,187.49082946777344,0.475,1.0,0.0,1.0,0.0,0.0,-0.07892265170812607,0.22752952575683594,0.0,0.2567638158798218,0.26302042603492737,0.2712123394012451,-1.4974677562713623,-1.485789179801941,-1.4704948663711548,0.0,1.0
24576,24,7,174.31519107232424,163.28571428571428,-0.003959956491598859,167.2310535430908,-0.19775493815541267,0.003687091832398437,0.0333251953125,0.4854880627244711,152.3411340713501,8.361129760742188,18.44853973388672,40.992149353027344,27.47273063659668,32.63101577758789,18.823640823364258,0.5490584216925294,0.7485169768333435,218.21417236328125,0.5,1.0,0.0,1.0,0.0,0.0,-0.07606441527605057,0.22641614079475403,0.0,0.25884342193603516,0.2642418444156647,0.2717251777648926,-1.4935731887817383,-1.483492374420166,-1.469541311264038,0.0,1.0
25600,25,7,153.87186259974186,148.42857142857142,-0.004352561652194708,182.18930320739747,-0.1922311056405306,0.007047239827807061,0.036328125,0.5316817134618759,130.08036689758302,11.992012023925781,15.861725807189941,46.35052490234375,27.555173873901367,34.35851287841797,19.51937484741211,0.668644226495133,1.181823492050171,153.30514526367188,0.4,1.0,0.0,1.0,0.0,0.0,-0.07547835260629654,0.22841806709766388,0.0,0.2598095238208771,0.26478686928749084,0.27278250455856323,-1.4917652606964111,-1.4824981689453125,-1.4675759077072144,0.0,1.0
26624,26,6,183.72963622886314,151.66666666666666,-0.0038843049318529666,116.3333568572998,-0.18912245109677314,0.001640532816236373,0.0301025390625,0.514844986051321,137.95930156707763,11.972208023071289,12.122819900512695,43.108116149902344,25.3544921875,31.135906219482422,20.905746459960938,0.7713888509223122,1.0804697275161743,284.7526550292969,0.6,1.0,0.0,1.0,0.0,0.0,-0.08692891150712967,0.23090972006320953,0.0,0.2609837055206299,0.2651976943016052,0.27230992913246155,-1.4895691871643066,-1.4817224740982056,-1.468454122543335,0.0,1.0
27648,27,8,155.27540796981125,148.0,-0.003234146477188915,151.47696113586426,-0.188235542178154,0.004703771699860226,0.0342041015625,0.5093043528497219,138.6193525314331,9.635528564453125,17.60763168334961,37.77353286743164,33.509132385253906,28.138004302978516,27.84712791442871,0.7238942314139085,1.0322909355163574,254.36041259765625,0.4,1.0,0.0,1.0,0.0,0.0,-0.08101484924554825,0.22820323705673218,0.0,0.2606147527694702,0.26515600085258484,0.2728227972984314,-1.4902591705322266,-1.481784701347351,-1.467500925064087,0.0,1.0
28672,28,7,167.99054997791927,143.71428571428572,-0.0044563512899912896,104.65927848815917,-0.19084276333451272,0.004524085084267426,0.041259765625,0.575197184085846,143.07799243927002,14.515213012695312,10.039192199707031,38.365318298339844,27.78411102294922,23.85010528564453,28.146129608154297,0.8694416778588075,1.0569164752960205,360.08447265625,0.65,1.0,0.0,1.0,0.0,0.0,-0.07908504456281662,0.2278030812740326,0.0,0.25845083594322205,0.26405802369117737,0.2719744145870209,-1.4943079948425293,-1.4838553667068481,-1.4690778255462646,0.0,1.0
29696,29,7,182.13308255855392,154.28571428571428,-0.003952176345046609,128.61866397857665,-0.19578173346817493,0.0031737528508529065,0.0372314453125,0.5470992270857096,131.4630994796753,10.362092018127441,14.89490795135498,42.44094467163086,29.477323532104492,32.078857421875,23.27289390563965,0.7446713833325824,1.1611536741256714,217.48745727539062,0.5,1.0,0.0,1.0,0.0,0.0,-0.0784701406955719,0.23228763043880463,0.0,0.2568127512931824,0.26383474469184875,0.2717951536178589,-1.4973759651184082,-1.4842568635940552,-1.4694111347198486,0.0,1.0
30720,30,7,134.45591912057694,122.28571428571429,-0.004086751234717667,135.19907417297364,-0.19599317647516729,0.005025594354083296,0.038037109375,0.549315495789051,95.54877738952636,9.707708358764648,14.805368423461914,42.46158981323242,31.59649085998535,32.753883361816406,26.738359451293945,0.780436208117325,1.0496275424957275,166.04127502441406,0.55,1.0,0.0,1.0,0.0,0.0,-0.08980932831764221,0.23298682272434235,0.0,0.25646311044692993,0.2638952136039734,0.2715974450111389,-1.4980311393737793,-1.484163761138916,-1.4697787761688232,0.0,1.0
31744,31,8,141.01644904785567,147.25,-0.003235753555782139,122.8660400390625,-0.19298012368381023,0.0030323819562909195,0.0298583984375,0.537761353701353,110.16535720825195,6.426844120025635,17.15411376953125,35.03387451171875,32.59061813354492,28.607032775878906,29.954866409301758,0.722954349114302,0.8721243143081665,241.27528381347656,0.525,1.0,0.0,1.0,0.0,0.0,-0.0860966145992279,0.2316790223121643,0.0,0.25543034076690674,0.26486706733703613,0.2718456983566284,-1.499967098236084,-1.4823622703552246,-1.4693171977996826,0.0,1.0
32768,32,7,147.06847686717916,134.57142857142858,-0.004209485766477883,133.19751071929932,-0.18754055313766002,0.004742203396745026,0.0347412109375,0.49699691981077193,132.32968673706054,12.441452026367188,13.214655876159668,41.37732696533203,37.62078857421875,28.935874938964844,32.667903900146484,0.8766168316876277,0.8358473181724548,226.5795440673828,0.45,1.0,0.0,1.0,0.0,0.0,-0.08670582622289658,0.22892044484615326,0.0,0.25686606764793396,0.2659744322299957,0.27170872688293457,-1.4972760677337646,-1.48025643825531,-1.469571828842163,0.0,1.0
33792,33,8,161.31909239282894,136.875,-0.0038565929455216972,97.61906032562256,-0.18484763503074647,0.0016066605530795641,0.0212158203125,0.48653168976306915,92.13720531463623,9.240875244140625,11.83927059173584,49.24427032470703,24.79443359375,40.003395080566406,17.949825286865234,0.7719965317089638,0.7905027866363525,141.46519470214844,0.425,1.0,0.0,1.0,0.0,0.0,-0.08997661620378494,0.2273401916027069,0.0,0.25620362162590027,0.2653246223926544,0.2699512541294098,-1.4985175132751465,-1.4814616441726685,-1.4728410243988037,0.0,1.0
34816,34,7,151.62031547325904,132.57142857142858,-0.002806085057090968,103.90860996246337,-0.19059893153607846,0.0031847053367528135,0.0168212890625,0.5488703280687333,112.16882419586182,10.69862174987793,12.25011920928955,47.71327209472656,29.625133514404297,37.0146484375,26.691429138183594,0.8290142240360444,0.9579790830612183,241.18624877929688,0.575,1.0,0.0,1.0,0.0,0.0,-0.09030018001794815,0.2255847007036209,0.0,0.2535650432109833,0.26416146755218506,0.2710157632827759,-1.5034661293029785,-1.4836491346359253,-1.470860481262207,0.0,1.0
