variant,metric,n,mean,std,median
P3,normal_completion_count,3,0.3333333333333333,0.5773502691896257,0.0
P3,persistent_outage_count,3,16.0,3.605551275463989,17.0
P3,collision_count,3,0.6666666666666666,1.1547005383792515,0.0
P3,boundary_count,3,3.0,4.358898943540674,1.0
P3,outage_step_ratio,3,0.09620387378490473,0.010985588086628693,0.09793895245262332
P3,rate_satisfaction_ratio,3,0.8601609827064293,0.027364426313511173,0.860000198697344
P3,mean_e2e_rate_mbps,3,6.59598420412259,0.17344989220521057,6.503413661489313
P4,normal_completion_count,3,0.6666666666666666,1.1547005383792515,0.0
P4,persistent_outage_count,3,18.333333333333332,1.5275252316519468,18.0
P4,collision_count,3,0.0,0.0,0.0
P4,boundary_count,3,1.0,1.0,1.0
P4,outage_step_ratio,3,0.11701138019004376,0.0067089277042476966,0.11643548483483461
P4,rate_satisfaction_ratio,3,0.8144758167180495,0.03564858058002145,0.8004910743894895
P4,mean_e2e_rate_mbps,3,6.389978205626671,0.1287892313475684,6.345911975091491
