run_seed,winner_by_safety_priority_key,p3_selected_update,p4_selected_update,p3_normal_completion_count,p4_normal_completion_count,p4_minus_p3_normal_completion_count,p3_persistent_outage_count,p4_persistent_outage_count,p4_minus_p3_persistent_outage_count,p3_collision_count,p4_collision_count,p4_minus_p3_collision_count,p3_boundary_count,p4_boundary_count,p4_minus_p3_boundary_count,p3_outage_step_ratio,p4_outage_step_ratio,p4_minus_p3_outage_step_ratio,p3_rate_satisfaction_ratio,p4_rate_satisfaction_ratio,p4_minus_p3_rate_satisfaction_ratio,p3_mean_e2e_rate_mbps,p4_mean_e2e_rate_mbps,p4_minus_p3_mean_e2e_rate_mbps
2026,P3,350,350,1,0,-1.0,17,20,3.0,2,0,-2.0,0,0,0.0,0.09793895245262332,0.12398969178493331,0.02605073933230999,0.8328773026666946,0.787939967919541,-0.04493733474715356,6.503413661489313,6.289006070575779,-0.21440759091353456
2027,P4,100,1000,0,2,2.0,19,17,-2.0,0,0,0.0,1,1,0.0,0.10621867207316042,0.11060896395036338,0.004390291877202954,0.860000198697344,0.8004910743894895,-0.05950912430785449,6.4884582727151265,6.345911975091491,-0.14254629762363535
2028,P4,250,200,0,0,0.0,12,18,6.0,0,0,0.0,8,2,-6.0,0.08445399682893046,0.11643548483483461,0.031981488005904155,0.8876054467552492,0.8549964078451178,-0.03260903891013145,6.79608067816333,6.535016571212745,-0.2610641069505846
