total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,value_target_mean,value_target_std,value_prediction_mean_pre,value_prediction_std_pre,explained_variance_pre,actor_grad_norm_max,critic_grad_norm_max,actor_grad_clip_fraction,critic_grad_clip_fraction,value_normalizer_mean,value_normalizer_std,value_normalizer_count,hard_speed_accel_violations,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,1,120.31786201353484,93.0,-0.004762232187204063,0.38935801312327384,-0.24799654632806778,0.003730700416781474,0.0343994140625,0.5498318791389465,0.4390575744211674,38.21107864379883,16.340858459472656,38.127288818359375,16.308616638183594,-0.08378741145133972,0.18113741278648376,-0.003958171888491346,0.8186591267585754,1.0028976202011108,0.625,0.225,38.12728730296813,16.308618782100325,1024.0001,0.0,0.05971929430961609,0.22112329304218292,0.0,0.25269851088523865,0.2537418305873871,0.25520190596580505,-1.505092740058899,-1.5031485557556152,-1.5003955364227295,0.0,1.0
2048,2,7,219.76612894594004,193.85714285714286,-0.004282134119421244,0.2804575487971306,-0.25551622211933134,0.004099407923058606,0.0313232421875,0.5384625911712646,0.5974686771631241,15.380258560180664,23.736846923828125,52.86512756347656,28.123090744018555,37.484867095947266,8.006052017211914,0.2876065311053405,0.9384447932243347,1.4428004026412964,0.55,0.425,45.496206044766076,24.140020488091448,2048.0001,0.0,0.05824451521039009,0.22014057636260986,0.0,0.25139734148979187,0.25279340147972107,0.2543415427207947,-1.50753653049469,-1.5048953294754028,-1.5020091533660889,0.0,1.0
3072,3,3,261.8132545628789,206.66666666666666,-0.0048600936192087826,0.07332192431204021,-0.2632198132574558,0.004048447302193381,0.0417236328125,0.593920549750328,0.42757380157709124,21.49656105041504,25.151681900024414,82.845947265625,36.42570877075195,61.34938430786133,16.120256423950195,0.5232200942836506,1.1160004138946533,1.4894503355026245,0.625,0.275,57.94611831520249,33.775314030369366,3072.0001,0.0,0.05761949345469475,0.22075755894184113,0.0,0.2489459216594696,0.2506716549396515,0.25158223509788513,-1.512144923210144,-1.508895754814148,-1.507189154624939,0.0,1.0
4096,4,6,220.13357365264594,194.83333333333334,-0.002768709801603109,0.04062698627822101,-0.27113370448350904,0.004923174432769883,0.022119140625,0.4580243490636349,0.3539794374257326,14.582926750183105,19.731531143188477,89.7025146484375,44.20341873168945,75.11959075927734,31.600191116333008,0.8007447273436274,0.910761296749115,1.085389256477356,0.325,0.2,65.88521802320169,39.155489825996334,4096.0001,0.0,0.04812491312623024,0.2189517766237259,0.0,0.24969901144504547,0.25056836009025574,0.25203096866607666,-1.5107285976409912,-1.5091031789779663,-1.5063462257385254,0.0,1.0
5120,5,5,238.71276340179082,197.6,-0.004228166991379112,0.026547039253637196,-0.26847112402319906,0.005914660503913182,0.0417236328125,0.527556961029768,0.21203042194247246,8.919560432434082,13.896384239196777,75.21419525146484,51.23991012573242,66.29463195800781,45.762725830078125,0.9264492829262911,0.8603397607803345,0.5420981049537659,0.5,0.05,67.75101311399382,42.018475934917674,5120.0001,0.0,0.0438457727432251,0.21951140463352203,0.0,0.24964576959609985,0.25138863921165466,0.25362610816955566,-1.5108287334442139,-1.5075410604476929,-1.5033515691757202,0.0,1.0
6144,6,5,201.75516517002512,200.6,-0.0036569072748534382,0.05164899663068354,-0.2657462924718857,0.0021896393882343546,0.041796875,0.5726889736950398,0.37317238934338093,6.134437561035156,26.83711051940918,120.35902404785156,54.95646667480469,114.22459411621094,42.95310974121094,0.7615299317759184,1.128313660621643,1.19453763961792,0.625,0.2,76.51901585278047,48.57007170950138,6144.0001,0.0,0.035494472831487656,0.2189667820930481,0.0,0.2479279637336731,0.2511950731277466,0.2562566101551056,-1.514060139656067,-1.5079379081726074,-1.4984182119369507,0.0,1.0
7168,7,7,170.05122043617868,174.28571428571428,-0.003551531129051,0.09373934864997864,-0.2665505357086658,0.004641756087949034,0.0324951171875,0.5204233895987272,0.380528986081481,-12.763724327087402,30.581960678100586,83.85157775878906,59.3482666015625,96.61530303955078,48.77910614013672,0.7344693484683138,0.9437265992164612,0.9257256388664246,0.45,0.225,77.56652491524513,50.31701377255628,7168.0001,0.0,0.03380836918950081,0.2188858538866043,0.0,0.2480810582637787,0.25154587626457214,0.25634294748306274,-1.5137720108032227,-1.5072683095932007,-1.4982564449310303,0.0,1.0
8192,8,5,178.56060523162873,178.0,-0.005398942419560626,0.03888247592840344,-0.2665154032409191,0.006482337358465884,0.0489013671875,0.5283094488084317,0.22104666493833064,-3.0707948207855225,21.839599609375,80.09355163574219,63.52278137207031,83.16434478759766,58.20011901855469,0.8817965040482717,1.0315722227096558,0.5823056101799011,0.5,0.025,77.88240307244821,52.157626825030455,8192.000100000001,0.0,0.034232839941978455,0.2160465270280838,0.0,0.24714942276477814,0.2509015202522278,0.25527670979499817,-1.5155255794525146,-1.508455753326416,-1.5002552270889282,0.0,1.0
9216,9,3,272.9464461712232,248.0,-0.004636766633484513,0.0278651473345235,-0.27495538666844366,0.0020801376740564592,0.036328125,0.5444349512457848,0.2645365923643112,8.25011157989502,20.621612548828125,90.64962768554688,70.14055633544922,82.3995132446289,76.29829406738281,0.9135615774571877,1.202793836593628,0.8577741980552673,0.5,0.15,79.3009832868946,54.597448681553416,9216.000100000001,0.0,0.02606952004134655,0.21766358613967896,0.0,0.24365201592445374,0.2483668476343155,0.25436753034591675,-1.5221154689788818,-1.5132616758346558,-1.5019603967666626,0.0,1.0
10240,10,7,245.04250776674976,216.28571428571428,-0.004229424911318347,0.03766760197468102,-0.28618962690234184,0.0018274011585162953,0.019091796875,0.5031329583376646,0.20869114622473717,-3.272043228149414,22.328712463378906,109.39036560058594,65.26643371582031,112.66239929199219,58.196956634521484,0.8829564116378877,0.8891639113426208,0.6626166701316833,0.5,0.025,82.30992062470537,56.48227427724549,10240.000100000001,0.0,0.014756510965526104,0.21507978439331055,0.0,0.2444896101951599,0.2474837303161621,0.25184017419815063,-1.5205363035202026,-1.5148817300796509,-1.5067046880722046,0.0,1.0
