mode,relay,metric,count,min,mean,median,p1,p5,p95,p99,max,std
nominal,R1,altitude_m,10000,129.94272335240183,198.7129793226372,201.482185009988,131.13083139323564,147.07465822118087,252.69205268975665,259.58640270415043,263.5492528870239,32.33636595873699
nominal,R1,downstream_height_difference_m,10000,-25.090656834289405,-1.0958280895544885,0.17478666181904146,-24.60984813147968,-19.93389844927512,15.101707449490192,20.92866163989069,24.447129657496816,10.432706312261871
nominal,R1,upstream_height_difference_m,10000,-35.80451260979493,-1.5513011713699558,-0.18372071194659156,-32.8368008386943,-23.815879448789417,18.099971275378863,28.073209523591544,31.44422473004454,12.803874831644967
nominal,R2,altitude_m,10000,132.7372717587331,199.80880741219204,202.19928162300724,134.98880759053156,153.04267791367067,249.86050053368814,256.90218120562275,258.72546220405115,29.08243490216559
nominal,R2,downstream_height_difference_m,10000,-27.111054702669662,-1.107417608468774,0.25656151432707475,-24.716453557566524,-19.957768209099044,15.101498405331967,20.92871017854162,24.404300027115767,10.456344890291758
nominal,R2,upstream_height_difference_m,10000,-25.090656834289405,-1.0958280895544885,0.17478666181904146,-24.60984813147968,-19.93389844927512,15.101707449490192,20.92866163989069,24.447129657496816,10.432706312261871
nominal,R3,altitude_m,10000,135.47520671914998,200.9162250206611,203.08081563406026,137.9528939654917,149.70352904452622,247.47385034247594,253.94717539681048,256.4992198963647,29.388316736305203
nominal,R3,downstream_height_difference_m,10000,-25.081987197934808,-1.0143823513644503,0.24811123371068788,-24.610089876552905,-19.657222471705524,15.093988199839345,22.434784834493968,26.088062518550345,10.474999632647632
nominal,R3,upstream_height_difference_m,10000,-27.111054702669662,-1.107417608468774,0.25656151432707475,-24.716453557566524,-19.957768209099044,15.101498405331967,20.92871017854162,24.404300027115767,10.456344890291758
nominal,R4,altitude_m,10000,135.11431955782317,201.93060737202546,204.04487352550487,138.92998555287983,143.13992113045612,249.50355998112482,255.15796963112956,258.1003925153577,33.20086649285694
nominal,R4,downstream_height_difference_m,10000,-36.867818790115706,-1.4892595338929442,-0.1172634446046743,-29.855522573031067,-22.12342862941557,18.971543956082,27.15532092644702,33.355676064024124,12.645039571843986
nominal,R4,upstream_height_difference_m,10000,-25.081987197934808,-1.0143823513644503,0.24811123371068788,-24.610089876552905,-19.657222471705524,15.093988199839345,22.434784834493968,26.088062518550345,10.474999632647632
random_stress,R1,altitude_m,3661,99.86556347032794,214.41786370635344,211.64790005877694,118.23059276445528,149.46633919591017,278.08948236783874,293.15312500424784,300.4357274435658,39.47247246500399
random_stress,R1,downstream_height_difference_m,3661,-110.26209779223564,17.06767408315208,11.057335321890491,-82.1667340019365,-43.08966048807396,100.64062888573355,148.93052793535907,171.9707925087132,41.94080295621368
random_stress,R1,upstream_height_difference_m,3661,-166.80875169975894,-11.312070041238737,-8.682530622792342,-149.07248449485192,-85.5260657776798,44.88791313899323,61.65477841736977,75.6316404525316,39.990496825302685
random_stress,R2,altitude_m,3661,99.43025190431733,197.35018962320075,192.71288044663532,116.90848231952333,141.81304138733373,266.9896445929207,291.786230868992,301.06777432395387,36.07428432461812
random_stress,R2,downstream_height_difference_m,3661,-168.83585876202068,5.800634531708711,5.457142127473389,-151.02104579330842,-72.94958410468107,70.57135869020567,129.515628247758,174.8452909972388,44.41295399572067
random_stress,R2,upstream_height_difference_m,3661,-110.26209779223564,17.06767408315208,11.057335321890491,-82.1667340019365,-43.08966048807396,100.64062888573355,148.93052793535907,171.9707925087132,41.94080295621368
random_stress,R3,altitude_m,3661,99.12689887652996,191.54955509149272,193.72369449486735,105.36151882779629,122.54986732722743,258.54276434392074,289.5557730155793,297.00556676442704,41.132273795415614
random_stress,R3,downstream_height_difference_m,3661,-158.87765478680194,-0.7744002188206015,3.6324698557899637,-117.15744850073148,-76.27657188191962,56.42255505563068,126.91539450788206,155.97720690630018,42.42969147944839
random_stress,R3,upstream_height_difference_m,3661,-168.83585876202068,5.800634531708711,5.457142127473389,-151.02104579330842,-72.94958410468107,70.57135869020567,129.515628247758,174.8452909972388,44.41295399572067
random_stress,R4,altitude_m,3661,102.57165692748674,192.32395531031352,187.34615084380326,110.47983229909053,124.54262949939307,266.39526028023147,288.51468783135016,300.90402826252875,40.35751431845452
random_stress,R4,downstream_height_difference_m,3661,-117.00117705442938,-11.86628770407616,-10.373259384505474,-104.40377726923003,-78.6959245779268,46.09117872526403,60.62987946596667,105.67646360132122,36.1587199982799
random_stress,R4,upstream_height_difference_m,3661,-158.87765478680194,-0.7744002188206015,3.6324698557899637,-117.15744850073148,-76.27657188191962,56.42255505563068,126.91539450788206,155.97720690630018,42.42969147944839
zero_action,R1,altitude_m,5012,176.72532470326084,209.5189516274784,203.88178897037585,176.72532470326084,176.72532470326084,252.1055562754702,254.25932610769212,254.25932610769212,23.876865665599173
zero_action,R1,downstream_height_difference_m,5012,-20.822618348041914,5.552485874514921,6.828768107445086,-20.822618348041914,-12.163791473447901,22.369853817909927,22.369853817909927,22.369853817909927,10.682401287586863
zero_action,R1,upstream_height_difference_m,5012,-72.52927736343,-1.7802614170861735,-5.084941061466338,-70.49580261379384,-41.75942517135397,39.451510553223386,62.802806327721754,64.70250373156404,29.85566173993679
zero_action,R2,altitude_m,5012,163.15929204205872,203.96646575296575,207.83998743216134,163.15929204205872,163.15929204205872,239.58235032527185,245.20525764018868,245.20525764018868,26.29639859516509
zero_action,R2,downstream_height_difference_m,5012,-26.14102402384816,4.851059245545922,3.55005000068158,-26.14102402384816,-17.095752823068665,25.575125517681954,25.575125517681954,25.575125517681954,12.071015139939714
zero_action,R2,upstream_height_difference_m,5012,-20.822618348041914,5.552485874514921,6.828768107445086,-20.822618348041914,-12.163791473447901,22.369853817909927,22.369853817909927,22.369853817909927,10.682401287586863
zero_action,R3,altitude_m,5012,150.73178690588824,199.11540650741685,204.97921478995218,150.73178690588824,150.73178690588824,242.94979551256304,249.94888823485957,249.94888823485957,31.961413187524318
zero_action,R3,downstream_height_difference_m,5012,-20.581788164542786,5.445039011467425,5.39651780994771,-20.581788164542786,-12.443724393884963,22.192104963802763,22.75156863988039,22.75156863988039,11.166560827519044
zero_action,R3,upstream_height_difference_m,5012,-26.14102402384816,4.851059245545922,3.55005000068158,-26.14102402384816,-17.095752823068665,25.575125517681954,25.575125517681954,25.575125517681954,12.071015139939714
zero_action,R4,altitude_m,5012,128.53968194208548,193.67036749595272,196.0861110137568,128.53968194208548,128.53968194208548,254.56279962055228,262.39261262874453,262.39261262874453,39.27890329838073
zero_action,R4,downstream_height_difference_m,5012,-93.43706180473018,-3.440505546333789,-2.8863762923679985,-90.75361722879202,-59.44793394585358,54.02839514099509,64.00088775162405,69.84371078908285,31.415080622273763
zero_action,R4,upstream_height_difference_m,5012,-20.581788164542786,5.445039011467425,5.39651780994771,-20.581788164542786,-12.443724393884963,22.192104963802763,22.75156863988039,22.75156863988039,11.166560827519044
