mode,hop,metric,count,min,mean,median,p1,p5,p95,p99,max,std
nominal,H->R1,antenna_gain_db,10000,-0.19616968555620393,-0.015907110840014674,-0.005280194078097594,-0.13874078673011195,-0.07325405778252302,-4.6727623080354505e-05,-1.7598719172607548e-06,-1.5768605589744702e-09,0.02625930957222763
nominal,H->R1,antenna_gain_linear,10000,0.9558352251977861,0.9963620522498889,0.9987849291798359,0.9685586438727792,0.9832740874865775,0.9999892406250489,0.9999995947745979,0.9999999996369144,0.0059687034924887
nominal,H->R1,capacity_mbps,10000,27.424636320510142,39.8231183907492,38.66223073362728,28.52727181788634,31.358917998356997,53.61979639427403,66.10469257316761,70.50887103423067,7.038943123091688
nominal,H->R1,distance_m,10000,76.9115305171067,239.27921400900482,241.7416302536049,90.30797163928628,140.42679115835926,319.2290723406334,356.2271446820725,373.31004215061193,54.91309775648693
nominal,H->R1,elevation_angle_deg,10000,0.001091759772507399,2.6231190678482768,1.9988459926213313,0.03647295851508195,0.18793900896197235,7.430802161342153,10.213527659743859,12.131387099569222,2.261865575924288
nominal,H->R1,height_difference_abs_m,10000,0.005126111488408469,10.18076488269202,8.474654781753514,0.17451523590224838,0.6612218316111012,26.31600980562149,32.8368008386943,35.80451260979493,7.918192497790779
nominal,H->R1,horizontal_distance_m,10000,76.13832006652657,238.9037125680232,241.54611422789276,89.98977815082796,140.23697567750315,319.1185394665016,355.42386739453804,373.05805799067804,55.033271183597705
nominal,H->R1,snr_db,10000,7.55274159293803,11.671417663086826,11.329981047622857,7.9404487773344,8.91547184019136,16.034261111340246,19.85482010634832,21.192407653208868,2.2412686193935936
nominal,H->R1,snr_linear,10000,5.692121469065105,17.350282791803362,13.583075189934085,6.223645937672846,7.790174464773095,40.12602238857319,96.71236655812235,131.595417215333,13.956218944369706
nominal,R1->R2,antenna_gain_db,10000,-0.09014565163615443,-0.010113932314744145,-0.004332828789133256,-0.07603036549704296,-0.039592578566531596,-2.6207699752013856e-05,-1.1325903785606124e-06,-1.2054093331916256e-13,0.015392256864425583
nominal,R1->R2,antenna_gain_linear,10000,0.9794571362861245,0.9976801369423738,0.999002826809912,0.9826457122311183,0.9909249014289621,0.9999939654723308,0.9999997392114618,0.9999999999999722,0.0035192839132669033
nominal,R1->R2,capacity_mbps,10000,28.01587268522405,39.65097597524351,39.37605680385195,29.124474450279717,31.805135192587464,53.11010529978726,56.28363567164415,60.406120876131396,5.950006904336531
nominal,R1->R2,distance_m,10000,110.18596313563755,238.89894942425428,235.41615626079366,127.60841392538234,143.0419571729251,313.7712397104781,348.1034967219415,364.36078741530247,48.72348115781173
nominal,R1->R2,elevation_angle_deg,10000,9.529521287419672e-06,2.1565160826146865,1.8121095482540568,0.029259500063552563,0.14074880319290248,5.466475200313742,7.569901796173896,8.240458863486236,1.727619187312441
nominal,R1->R2,height_difference_abs_m,10000,3.322113354897738e-05,8.473372665323215,7.57479992891416,0.13764534379367888,0.5780007737545532,21.405903745997705,24.60984813147968,25.090656834289405,6.184185950819936
nominal,R1->R2,horizontal_distance_m,10000,109.68094933277304,238.65248854535218,235.30847941440197,127.1970205406569,142.96187373460793,313.7353012142404,347.67024481960436,364.0206620997817,48.80197908957184
nominal,R1->R2,snr_db,10000,7.761249648401502,11.623708311604586,11.560271657452162,8.14842914604945,9.066742412702496,15.87693495007354,16.85436634037082,18.117573128487756,1.903411612867995
nominal,R1->R2,snr_linear,10000,5.972071035358945,16.18689215395691,14.322774874908639,6.528943564199072,8.066297606201415,38.69844327782789,48.465939298375794,64.82720728110453,8.802522817676335
nominal,R2->R3,antenna_gain_db,10000,-0.09014546542006216,-0.010128360137955178,-0.004038320086616653,-0.076028386462246,-0.04034108324885238,-3.090716524978268e-05,-1.460702222952788e-06,-2.384936117246412e-10,0.015594798769111745
