total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,value_target_mean,value_target_std,value_prediction_mean_pre,value_prediction_std_pre,explained_variance_pre,actor_grad_norm_max,critic_grad_norm_max,actor_grad_clip_fraction,critic_grad_clip_fraction,value_normalizer_mean,value_normalizer_std,value_normalizer_count,hard_speed_accel_violations,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,0,,,-0.005803553288569674,166.65049057006837,-0.24343253523111344,0.0035818490621750245,0.0305908203125,0.5406880762428046,74.22566261291504,19.019817352294922,5.261507034301758,18.998489379882812,5.274108409881592,-0.02132970467209816,0.10702782869338989,0.004772816938197755,1.1709558963775635,98.3774642944336,0.625,1.0,0.0,1.0,0.0,0.0,0.07354972511529922,0.21261270344257355,0.0,0.25437965989112854,0.2553698420524597,0.2572117745876312,-1.5019376277923584,-1.500089168548584,-1.4966285228729248,0.0,1.0
2048,2,7,197.07272327074105,169.14285714285714,-0.004338161810301245,149.6726203918457,-0.2434833601117134,0.002666379640868399,0.0224609375,0.5601848408579826,43.542219161987305,15.551031112670898,9.392462730407715,16.234941482543945,8.10420036315918,0.6839094758033752,2.994804859161377,-0.3431937261620497,1.0345964431762695,56.37123107910156,0.575,1.0,0.0,1.0,0.0,0.0,0.06514526158571243,0.21469828486442566,0.0,0.2538287341594696,0.25526323914527893,0.2580021917819977,-1.5029712915420532,-1.500306487083435,-1.4951480627059937,0.0,1.0
3072,3,6,236.1797431159488,202.83333333333334,-0.0032425821700599045,135.75479125976562,-0.24363018199801445,0.003134980106551666,0.027978515625,0.6739424087107182,77.7853265762329,14.790321350097656,10.367056846618652,16.805213928222656,9.826876640319824,2.014892816543579,2.808328866958618,-0.11296092593188023,1.132657527923584,91.85194396972656,0.825,1.0,0.0,1.0,0.0,0.0,0.06829958409070969,0.21743163466453552,0.0,0.25424617528915405,0.25551268458366394,0.2575705051422119,-1.5021880865097046,-1.4998239278793335,-1.495956540107727,0.0,1.0
4096,4,7,190.11697422937365,170.71428571428572,-0.0036491166334599256,103.8824447631836,-0.2388289324939251,0.0033989327232120557,0.0384765625,0.5664223723113537,87.86565895080567,12.809937477111816,10.319803237915039,16.005844116210938,10.322081565856934,3.1959075927734375,3.583696126937866,0.0004414299195001359,1.1357698440551758,97.55511474609375,0.55,1.0,0.0,1.0,0.0,0.0,0.06273039430379868,0.21538320183753967,0.0,0.2553526759147644,0.2570250332355499,0.25796636939048767,-1.500112771987915,-1.4969534873962402,-1.4952151775360107,0.0,1.0
5120,5,3,179.39071542461033,184.0,-0.0040543924202211205,117.4725248336792,-0.23183960542082788,0.0034834699836210348,0.026806640625,0.5777693457901478,96.05763702392578,15.100150108337402,8.884023666381836,17.768814086914062,9.94352912902832,2.6686651706695557,5.384624481201172,0.20175120280956516,0.9953457713127136,104.62604522705078,0.625,1.0,0.0,1.0,0.0,0.0,0.05528326705098152,0.21374662220478058,0.0,0.2566192150115967,0.2576550543308258,0.25824230909347534,-1.4977385997772217,-1.4957820177078247,-1.4946985244750977,0.0,1.0
6144,6,7,216.3287802018382,185.14285714285714,-0.005535420135129243,103.96773757934571,-0.23252813816070556,0.0067662512927199716,0.0466796875,0.6232400242239237,112.82574939727783,14.664815902709961,7.114688873291016,20.709888458251953,10.013031959533691,6.045072555541992,5.311372756958008,0.4951288649483646,1.2802612781524658,128.2954864501953,0.675,1.0,0.0,1.0,0.0,0.0,0.05168873444199562,0.2185792624950409,0.0,0.25504937767982483,0.2568569779396057,0.2580389678478241,-1.5006815195083618,-1.4972845315933228,-1.4950792789459229,0.0,1.0
7168,7,7,149.03729510765427,166.14285714285714,-0.005969772679964081,78.9993507385254,-0.23297826200723648,0.006385371531359851,0.0526123046875,0.6333735816180706,86.78474636077881,8.369007110595703,11.637227058410645,15.038537979125977,15.813124656677246,6.669532299041748,8.112184524536133,0.45841877731563574,0.9428992867469788,120.10022735595703,0.8,1.0,0.0,1.0,0.0,0.0,0.061438482254743576,0.21551458537578583,0.0,0.25460585951805115,0.25794896483421326,0.2597505450248718,-1.5015133619308472,-1.4952772855758667,-1.4918756484985352,0.0,1.0
8192,8,4,159.07192431183432,151.5,-0.005085724999662489,71.62327728271484,-0.22454399541020392,0.004664367459190544,0.0389404296875,0.5322686407715083,94.27080154418945,12.506345748901367,6.363316059112549,19.615745544433594,11.88870906829834,7.109400749206543,8.596198081970215,0.7135178442796208,1.0865164995193481,122.05391693115234,0.475,1.0,0.0,1.0,0.0,0.0,0.046391844749450684,0.2158375233411789,0.0,0.2572310268878937,0.25979018211364746,0.2618337571620941,-1.496592402458191,-1.4917887449264526,-1.4879801273345947,0.0,1.0
9216,9,7,211.48726631908877,194.14285714285714,-0.004221415272331797,93.86634006500245,-0.21786966025829316,0.0037482706684386358,0.034765625,0.5090309605002403,102.71646137237549,12.833026885986328,8.724740982055664,21.94670867919922,14.780649185180664,9.11368179321289,10.533546447753906,0.6515679534344985,0.8657830953598022,141.9214324951172,0.4,1.0,0.0,1.0,0.0,0.0,0.0436619408428669,0.21736660599708557,0.0,0.25827208161354065,0.2595214545726776,0.2615383267402649,-1.494642734527588,-1.4923063516616821,-1.488532304763794,0.0,1.0
10240,10,3,232.9672273987013,202.0,-0.004553739010589197,76.69601631164551,-0.22166560366749763,0.0026647109421901404,0.0377685546875,0.5269045628607273,113.31086540222168,12.485174179077148,6.9120774269104,23.182018280029297,15.114808082580566,10.696844100952148,11.61852741241455,0.7908721313403952,0.9499571323394775,165.44680786132812,0.475,1.0,0.0,1.0,0.0,0.0,0.033336203545331955,0.21595221757888794,0.0,0.2548895478248596,0.25917133688926697,0.2630484998226166,-1.5009812116622925,-1.4929795265197754,-1.485710620880127,0.0,1.0
