actor_variant,run_seed,updates,training_samples,value_normalization,gamma,gae_lambda,final_test_executed,performance_evaluation_executed,checkpoint_reload_pass,actor_updated,critic_updated,diagnostics_finite,hard_speed_accel_violations,topology_tensors_finite,action_and_log_std_finite,resume_mode,exact_environment_resume,actor_grad_norm_last,critic_grad_norm_last,actor_grad_clip_fraction_last,critic_grad_clip_fraction_last,approx_kl_last
topology_info,2026,10,10240,False,0.99,0.95,False,False,True,True,True,True,0,True,True,fresh_episode_at_update_boundary,False,0.5052674267441034,104.09343805313111,0.475,1.0,0.0030953554130974227
graph,2026,10,10240,False,0.99,0.95,False,False,True,True,True,True,0,True,True,fresh_episode_at_update_boundary,False,0.43600033037364483,111.8899621963501,0.35,1.0,0.0026918814604869113
