total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,value_target_mean,value_target_std,value_prediction_mean_pre,value_prediction_std_pre,explained_variance_pre,actor_grad_norm_max,critic_grad_norm_max,actor_grad_clip_fraction,critic_grad_clip_fraction,value_normalizer_mean,value_normalizer_std,value_normalizer_count,hard_speed_accel_violations,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,5,132.97679367983102,111.0,-0.005508105870103463,0.3146344430744648,-0.23967664390802385,0.005321519305289258,0.0485107421875,0.5129142075777053,0.546657620370388,32.24414825439453,15.827075004577637,32.177513122558594,15.789359092712402,-0.0666363313794136,0.14118117094039917,-0.004783012234199413,1.104789137840271,0.9890086650848389,0.375,0.525,32.17750774397283,15.789361739294502,1024.0001,0.0,0.0718463733792305,0.22734187543392181,0.0,0.25554344058036804,0.2566744387149811,0.25783175230026245,-1.4997551441192627,-1.4976273775100708,-1.495467185974121,0.0,1.0
2048,2,10,132.33923706121536,114.3,-0.004721467662602663,0.28928638622164726,-0.2326844111084938,0.0035961509580374694,0.0279052734375,0.47622942067682744,1.0953054286539554,18.461868286132812,18.88649559020996,43.347755432128906,21.11025619506836,24.885887145996094,7.937949180603027,0.19958408274845862,0.7880728840827942,2.7738757133483887,0.325,0.675,37.76263078402025,19.45936896802664,2048.0001,0.0,0.07201239466667175,0.22667983174324036,0.0,0.2559789717197418,0.25789347290992737,0.2606254816055298,-1.4989385604858398,-1.495360016822815,-1.4902390241622925,0.0,1.0
3072,3,8,123.37732202941538,114.375,-0.004435513401404023,0.049812665372155604,-0.23056780621409417,0.004098846149281599,0.040087890625,0.5590752691030503,0.3859476387500763,8.455644607543945,13.380501747131348,46.91786193847656,27.768762588500977,38.46221923828125,18.94523048400879,0.7678162595633048,1.0044829845428467,1.1596074104309082,0.55,0.225,40.814373845823255,22.98054951714556,3072.0001,0.0,0.06929197162389755,0.22675643861293793,0.0,0.25466448068618774,0.2570851147174835,0.2597642242908478,-1.5014033317565918,-1.49685537815094,-1.4918500185012817,0.0,1.0
4096,4,9,119.69287038453048,99.11111111111111,-0.0037618580332491546,0.03268278008326888,-0.2380608417093754,0.00671235484915087,0.036962890625,0.514707424864173,0.24728337880223988,6.399227619171143,9.313483238220215,56.03236389160156,35.5762939453125,49.633140563964844,33.316993713378906,0.9314665123413778,0.9593858122825623,0.7476767301559448,0.5,0.125,44.618872041515054,27.494000146439113,4096.0001,0.0,0.0629260241985321,0.22776037454605103,0.0,0.25396180152893066,0.2554728090763092,0.2578994631767273,-1.5027216672897339,-1.4998798370361328,-1.495340347290039,0.0,1.0
5120,5,9,139.6099604306878,122.33333333333333,-0.002532826759852469,0.015959605376701803,-0.24256115555763244,0.0037898154492722823,0.021240234375,0.459155186265707,0.12312163803726435,4.4307355880737305,8.133703231811523,56.28995895385742,38.123695373535156,51.859222412109375,34.40227127075195,0.9544816378322811,0.7958081960678101,0.30223894119262695,0.325,0.0,46.953088743173154,30.28553386789806,5120.0001,0.0,0.06110325828194618,0.22794100642204285,0.0,0.25386354327201843,0.2558646500110626,0.25914448499679565,-1.5029059648513794,-1.4991403818130493,-1.4930096864700317,0.0,1.0
6144,6,8,160.43260107109427,133.875,-0.004822178476024419,0.015552315767854452,-0.23847580552101136,0.0030200748165952972,0.0394287109375,0.5502454981207847,0.1646840668283403,7.284217357635498,7.361964225769043,58.48517608642578,37.47400665283203,51.20096206665039,36.453163146972656,0.9614053456366267,1.0359058380126953,0.47317638993263245,0.55,0.0,48.875103416704064,31.888328956256597,6144.0001,0.0,0.06007269024848938,0.223051980137825,0.0,0.25371474027633667,0.2564355731010437,0.2618728578090668,-1.5031852722167969,-1.4980665445327759,-1.4879071712493896,0.0,1.0
7168,7,9,156.61176391596925,124.44444444444444,-0.00430027493275702,0.018220461055170743,-0.24047873318195342,0.004705571765953209,0.0318603515625,0.5494176775217057,0.18079152638092638,4.687751770019531,10.166926383972168,58.920135498046875,38.38393783569336,54.232383728027344,36.648685455322266,0.9298415049479608,1.0022962093353271,0.5489487051963806,0.6,0.025,50.31010784217211,33.08216607043457,7168.0001,0.0,0.06309373676776886,0.22493340075016022,0.0,0.2513134181499481,0.25504690408706665,0.2600683867931366,-1.5076942443847656,-1.5006828308105469,-1.4912810325622559,0.0,1.0
8192,8,7,130.41202431130657,114.42857142857143,-0.003501599875744432,0.016633689834270625,-0.24590444639325143,0.0023986952932318673,0.0384765625,0.5029839769005775,0.17917872462421655,-1.833793044090271,9.961920738220215,67.56947326660156,43.217315673828125,69.40325927734375,41.46255874633789,0.9468662349700036,1.1063385009765625,0.6236531734466553,0.45,0.05,52.46752789109883,34.98105569419335,8192.000100000001,0.0,0.05800306797027588,0.22461345791816711,0.0,0.25111865997314453,0.25498953461647034,0.2599353790283203,-1.508060097694397,-1.5007826089859009,-1.4915298223495483,0.0,1.0
9216,9,8,144.67328263724227,120.875,-0.004202674981206656,0.027538116835057736,-0.2457356259226799,0.004427568096434698,0.046044921875,0.5424290221184492,0.20823959149420262,-3.0914907455444336,12.249776840209961,72.24590301513672,41.26235580444336,75.33738708496094,41.987674713134766,0.9118650329863799,0.9420410394668579,0.6696869134902954,0.55,0.075,54.66512497804644,36.2701215543008,9216.000100000001,0.0,0.06281418353319168,0.22438094019889832,0.0,0.2521064579486847,0.2547266185283661,0.2581307291984558,-1.5062044858932495,-1.5012675523757935,-1.4949073791503906,0.0,1.0
10240,10,9,159.53351944580996,128.44444444444446,-0.00435549586545676,0.007228287227917463,-0.24724409431219102,0.0061668818249017935,0.0435791015625,0.5430390540510416,0.08214743072167038,3.2813663482666016,5.887277126312256,70.91329193115234,46.60805892944336,67.63192749023438,46.16623306274414,0.9840446294875279,1.2467586994171143,0.2406642585992813,0.45,0.0,56.2899418806724,37.74865458681923,10240.000100000001,0.0,0.05647960305213928,0.22271504998207092,0.0,0.25222912430763245,0.2545786201953888,0.25799745321273804,-1.5059741735458374,-1.50155508518219,-1.49515700340271,0.0,1.0
