mode,representation,dimension,name,count,min,mean,median,p1,p5,p95,p99,max,std,outside_unit_ratio,clipping_ratio
nominal,normalized,0,self_x,40000,0.20765760274443,0.5002558503997375,0.504609853241362,0.23771473305882454,0.2867993076421115,0.6977145297749,0.7806456122401717,0.8114345942186111,0.12515454280500007,0.0,0.0
nominal,normalized,1,self_y,40000,0.17842006333694702,0.511224792903724,0.5081305774761277,0.23625365312501131,0.30829127100999076,0.7303500252437669,0.7795789527366617,0.8452420486637944,0.1285881989015899,0.0,0.0
nominal,normalized,2,self_z,40000,-0.7005727664759818,0.0034539434472031067,0.016942414877266287,-0.6246248675958006,-0.5224257616550958,0.49430945373245494,0.5629207987274413,0.635492528870239,0.3107276235951033,0.0,0.0
nominal,normalized,3,self_vx,40000,-0.4290146129290255,0.025206226925404553,0.008539510282185983,-0.35923282374862386,-0.2580123726589854,0.3273642634805728,0.4085066379394415,0.478813559074016,0.17674053010259516,0.0,0.0
nominal,normalized,4,self_vy,40000,-0.4979173552373511,-0.02934272920992338,-0.025647163494463675,-0.4349994064484234,-0.36922910880489573,0.31743818114471967,0.3704323192507454,0.4135975927653129,0.21483772647490604,0.0,0.0
nominal,normalized,5,self_vz,40000,-0.5560966870117686,-0.002722163246002497,-0.0014261323618822823,-0.4781452426095747,-0.38392246123587687,0.3690288063810727,0.454825722824046,0.5655410963231776,0.21076251915286118,0.0,0.0
nominal,normalized,6,up_dx,40000,-0.149034093288272,-0.015123631574170989,-0.033276849567316615,-0.13874676728132432,-0.12738993837988583,0.12924807998209986,0.14200588384480228,0.15214839656120022,0.09180841326605503,0.0,0.0
nominal,normalized,7,up_dy,40000,-0.14952456649879184,0.008199288137044288,0.0018332065819253386,-0.14134058610315264,-0.11513845108327599,0.12933697592811416,0.1431971026818137,0.14777367517182644,0.07846927066536688,0.0,0.0
nominal,normalized,8,up_dz,40000,-0.17902256304897463,-0.005924359760595486,0.0011099514794476305,-0.1252593548707317,-0.10487567149427533,0.081314274860283,0.1161206800741958,0.1572211236502227,0.05545901369264059,0.0,0.0
nominal,normalized,9,up_dvx,40000,-0.241719528443676,-0.00616857061172384,-0.006556660309036344,-0.0844889668443746,-0.07174589642454744,0.057479941950424905,0.09339343740961263,0.16448049768521567,0.0402340782535271,0.0,0.0
nominal,normalized,10,up_dvy,40000,-0.23078202398223824,0.005839784241265616,0.006320094126831854,-0.10788741296529314,-0.07102530570965193,0.07988971691014343,0.10714772649932547,0.238876079156176,0.04804771094935745,0.0,0.0
nominal,normalized,11,up_dvz,40000,-0.3552027920320344,-0.003084329704468667,-0.001540594286929687,-0.17940932113990896,-0.08689535008437797,0.08548187973691874,0.17852199938810207,0.3362084406323163,0.05912590932153183,0.0,0.0
nominal,normalized,12,up_capacity,40000,0.45707727200850234,0.6610672202778194,0.6552855309698624,0.48818287851860775,0.5283371142920734,0.8872399265548436,0.9687612385944804,1.0,0.10214785045268478,0.0,0.0048828125
nominal,normalized,13,down_dx,40000,-0.1455570311413684,0.01577958930453268,0.03610770894327209,-0.13865106451472092,-0.12799980917354817,0.12663629495307088,0.1411505705560878,0.15917534152975657,0.09170600079826562,0.0,0.0
nominal,normalized,14,down_dy,40000,-0.15797823488287957,-0.008921760528479525,-0.0049767008839117464,-0.14540375379651374,-0.12934902413415728,0.1140365445083097,0.1423587058308301,0.14952456649879184,0.07818675164696362,0.0,0.0
nominal,normalized,15,down_dz,40000,-0.16677838032012063,0.005849063423702029,-0.0013763283265818417,-0.11481681893132731,-0.08100398443020808,0.09898335904007212,0.1239541564165259,0.18433909395057854,0.05522379829282665,0.0,0.0
nominal,normalized,16,down_dvx,40000,-0.1510565842535283,0.006902717024748725,0.005994098766787276,-0.07965822623841694,-0.05656420217771625,0.07220727226174624,0.10663088489490517,0.20678317031773216,0.039787493445370095,0.0,0.0
nominal,normalized,17,down_dvy,40000,-0.22531064422596936,-0.0062507686783211764,-0.006079683531490727,-0.11698148256588511,-0.08097131549551577,0.07039977789555814,0.11406409143662907,0.22497027379166218,0.04750514103830919,0.0,0.0
nominal,normalized,18,down_dvz,40000,-0.3423047869531273,0.002883889424343252,0.0018679316521691784,-0.20124344412343556,-0.09104990345352133,0.09320363335981469,0.2190365564191417,0.3494613422098453,0.06116651545817926,0.0,0.0
nominal,normalized,19,down_capacity,40000,0.44235892819551675,0.661978533786129,0.6538546538808319,0.4876669198182544,0.5258929629529407,0.8811221154944375,0.9609594738919363,1.0,0.10290043420427294,0.0,0.0029296875
nominal,normalized,20,safe_dx,40000,-0.29806738658317095,-0.007507650805431989,-0.042953332395654,-0.274930636684636,-0.25686389058749026,0.24817306916251847,0.27462896794907454,0.2980677639245072,0.18427818243099903,0.0,0.0
nominal,normalized,21,safe_dy,40000,-0.2967186454935314,-0.003520159777573138,-0.0048564785234067355,-0.28788144271271177,-0.2471026454484473,0.2467108219404094,0.2857035319401588,0.2935579452078119,0.15560279280030498,0.0,0.0
nominal,normalized,22,safe_dz,40000,-0.28449012384398986,-0.002075474529586829,0.0033277865745492364,-0.2411254164488136,-0.1800938683618169,0.16969732203423477,0.24456620074766774,0.30023527006076806,0.1068549715935298,0.0,0.0
nominal,normalized,23,safe_dvx,40000,-0.2418691463729476,0.0037544162700059083,0.002131795831065738,-0.15232950811560478,-0.1226053342077178,0.13952884857474546,0.15522196431445717,0.21829652755641607,0.07364779280413497,0.0,0.0
nominal,normalized,24,safe_dvy,40000,-0.22965769288647522,-0.0027517793993021705,-0.001068152938269984,-0.17844350262330905,-0.1483675521957414,0.14705193426474797,0.17737569564121508,0.20243034355660533,0.08644944826218894,0.0,0.0
nominal,normalized,25,safe_dvz,40000,-0.30394637189766965,-0.001217396222785317,-0.0009604407578029573,-0.22631162077755185,-0.13939784860597507,0.13865808784400135,0.22022493436797153,0.3637300442191164,0.08867300952371673,0.0,0.0
nominal,raw,0,self_x,40000,415.31520548886,1000.5117007994777,1009.2197064827241,475.4294661176491,573.598615284223,1395.4290595498,1561.2912244803433,1622.8691884372222,250.30908561001223,1.0,1.0
nominal,raw,1,self_y,40000,356.840126673894,1022.4495858074487,1016.2611549522554,472.5073062500226,616.5825420199815,1460.7000504875339,1559.1579054733234,1690.4840973275886,257.1763978031735,1.0,1.0
