mode,episode,seed,reset_success,initial_hl_distance_m,steps,terminated,truncated,termination_reason,outage_steps,warning_steps,min_separation_m,max_hl_distance_m,max_hl_xy_speed_mps,max_hl_abs_z_speed_mps,waypoint_switches,dmax_guard_steps,total_reward
random_stress,1,2000001,True,1146.5241925997127,210,True,False,persistent_outage,25,0,92.15007874683067,1146.5241925997127,9.898084113887487,3.0,2,0,206.5157204246505
random_stress,2,2000002,True,1437.060468951378,146,True,False,boundary_violation,0,0,239.24256438498,1437.060468951378,8.16377899143354,3.0,0,0,154.5005929720733
random_stress,3,2000003,True,1460.805921535989,160,True,False,persistent_outage,25,0,165.32278870344038,1679.8194536002704,8.508861737782578,3.0,0,0,110.79856706951634
random_stress,4,2000004,True,1499.5975861202987,243,True,False,boundary_violation,18,0,204.99447748842113,1499.5975861202987,9.461606303685043,3.0,2,0,210.42852806304865
random_stress,5,2000005,True,1138.8459167221376,137,True,False,boundary_violation,0,0,167.6433449140394,1138.8459167221376,9.21783762394941,3.0,0,0,183.60318998257688
random_stress,6,2000006,True,1220.9025691394006,134,True,False,boundary_violation,0,0,134.6467961069341,1278.602148194818,7.438120783209398,3.0,0,0,159.48715485039415
random_stress,7,2000007,True,1425.0843509743909,164,True,False,boundary_violation,8,0,164.322539025123,1425.0843509743909,9.229068819503334,3.0,1,0,163.47922516939184
random_stress,8,2000008,True,1428.0191440657647,236,True,False,persistent_outage,25,0,248.98836172285934,1659.631647328658,6.915636346257154,3.0,0,0,190.09358415385373
random_stress,9,2000009,True,1110.8419493920705,174,True,False,persistent_outage,25,0,80.10302467837185,1392.7676424096715,9.978481149457847,3.0,0,0,154.28735496455218
random_stress,10,2000010,True,1000.4006237536648,263,True,False,boundary_violation,0,0,145.9260443162,1162.916291641494,9.967755846859447,3.0,1,0,330.21663378462245
random_stress,11,2000011,True,1144.3615495322297,141,True,False,boundary_violation,0,0,165.8280429378992,1215.0671337242352,8.808369315472675,3.0,0,0,174.7657534969242
random_stress,12,2000012,True,1428.0288146143018,248,True,False,boundary_violation,6,0,87.39580722622696,1428.0288146143018,6.932451868978986,3.0,0,0,262.2097551793928
random_stress,13,2000013,True,1378.8536622774502,127,True,False,boundary_violation,0,0,196.26485507573688,1378.8536622774502,6.895838744291581,3.0,0,0,145.23720537681575
random_stress,14,2000014,True,1019.8432336327907,243,True,False,boundary_violation,0,0,184.8440735952711,1649.7378808752528,9.988314771330424,3.0,2,0,265.802477241648
random_stress,15,2000015,True,1174.449108656368,146,True,False,boundary_violation,0,0,62.802365038402364,1174.449108656368,9.181418606734807,3.0,0,0,186.61056383948585
random_stress,16,2000016,True,1023.6205032039609,161,True,False,boundary_violation,0,39,46.05937329374535,1023.6205032039609,7.870237829708456,3.0,0,0,212.76384914836024
random_stress,17,2000017,True,1062.0908724241444,233,True,False,persistent_outage,25,0,122.47243239680337,1062.0908724241444,9.316402068467942,3.0,2,0,246.92344065836977
random_stress,18,2000018,True,1355.896922795595,137,True,False,boundary_violation,0,0,98.80739020799172,1355.896922795595,8.247193459020872,3.0,0,0,162.1928192164511
random_stress,19,2000019,True,1072.54105323992,220,True,False,boundary_violation,23,0,119.4951310119018,1450.3611182748105,8.344572600708048,3.0,0,0,206.6182156859644
