total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,value_target_mean,value_target_std,value_prediction_mean_pre,value_prediction_std_pre,explained_variance_pre,actor_grad_norm_max,critic_grad_norm_max,actor_grad_clip_fraction,critic_grad_clip_fraction,value_normalizer_mean,value_normalizer_std,value_normalizer_count,hard_speed_accel_violations,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,2,144.35579466382558,124.0,-0.005084415024612099,162.85549659729003,-0.2437350019812584,0.003844616489368491,0.0239990234375,0.43957130461931226,70.64017868041992,18.648324966430664,5.452976703643799,18.529775619506836,5.4602766036987305,-0.11854898929595947,0.11769097298383713,0.002672017187791975,0.6721351742744446,94.64678955078125,0.4,1.0,0.0,1.0,0.0,0.0,-0.0019022932974621654,0.22704766690731049,0.0,0.2544366419315338,0.255365788936615,0.2569844722747803,-1.501830816268921,-1.5001040697097778,-1.4970543384552002,0.0,1.0
2048,2,10,156.9408762257591,127.3,-0.0036864058987703175,161.7161045074463,-0.242697424441576,0.002379323476634454,0.030419921875,0.45628495812416076,50.16564283370972,16.907859802246094,8.639779090881348,17.22186279296875,7.436457633972168,0.31400221586227417,2.2657346725463867,-0.3498113264866991,1.0577409267425537,64.25043487548828,0.3,1.0,0.0,1.0,0.0,0.0,-0.00261613167822361,0.22666166722774506,0.0,0.25298023223876953,0.2557031810283661,0.259252667427063,-1.504563808441162,-1.4994354248046875,-1.492807149887085,0.0,1.0
3072,3,7,173.48169124828914,135.0,-0.0035917794331908224,122.39723663330078,-0.23758723437786103,0.002698155389225576,0.0215087890625,0.47510774061083794,82.15782947540283,15.840398788452148,7.020590782165527,17.990827560424805,6.245075225830078,2.1504297256469727,2.034341812133789,-0.2637814636475766,0.7978334426879883,94.88424682617188,0.425,1.0,0.0,1.0,0.0,0.0,-0.01142047718167305,0.23009184002876282,0.0,0.25226253271102905,0.2573242485523224,0.2614128589630127,-1.5059113502502441,-1.4964237213134766,-1.4887669086456299,0.0,1.0
4096,4,7,145.95236831109267,128.42857142857142,-0.003284120571333915,130.00161056518556,-0.22881729081273078,0.0038162569311680273,0.0337890625,0.4944109197705984,80.4350004196167,15.664454460144043,8.840361595153809,17.096744537353516,8.05468463897705,1.4322891235351562,3.8224282264709473,-0.20460048065584036,0.9333499073982239,90.47285461425781,0.55,1.0,0.0,1.0,0.0,0.0,-0.009803925640881062,0.23067721724510193,0.0,0.25232377648353577,0.2586275637149811,0.26303279399871826,-1.5057964324951172,-1.4939789772033691,-1.4857399463653564,0.0,1.0
5120,5,10,146.01723029711633,127.7,-0.004066052904818207,94.92558708190919,-0.22420142218470573,0.004736847218009643,0.029248046875,0.4583220914006233,87.65652236938476,13.071809768676758,8.317959785461426,17.388805389404297,9.051365852355957,4.3169965744018555,3.6105735301971436,0.15548874415355074,0.7453082799911499,95.76168060302734,0.425,1.0,0.0,1.0,0.0,0.0,-0.005893366876989603,0.22980785369873047,0.0,0.254241943359375,0.2588963210582733,0.2640833258628845,-1.5021960735321045,-1.493459701538086,-1.4837783575057983,0.0,1.0
6144,6,8,139.8998794885835,124.25,-0.0037711312295868995,87.67540636062623,-0.22350500673055648,0.002954054225119762,0.0178955078125,0.4406375478953123,91.10647563934326,13.41220474243164,7.065714359283447,17.542552947998047,10.825531005859375,4.130346298217773,7.210265159606934,0.5739959438690783,0.725976824760437,102.75509643554688,0.425,1.0,0.0,1.0,0.0,0.0,-0.00599515438079834,0.2343047708272934,0.0,0.25597378611564636,0.25884464383125305,0.26343801617622375,-1.498948335647583,-1.493595004081726,-1.484983205795288,0.0,1.0
7168,7,9,143.64831738841474,122.11111111111111,-0.0030472328304313122,90.6471664428711,-0.2221626214683056,0.0024270286914543247,0.0222900390625,0.45089950114488603,105.36251602172851,13.831241607666016,7.2694091796875,20.832904815673828,9.280189514160156,7.001664161682129,6.468423366546631,0.3864011432586475,0.9224179983139038,129.8763427734375,0.35,1.0,0.0,1.0,0.0,0.0,-0.004665622487664223,0.2339000701904297,0.0,0.25721433758735657,0.25979018211364746,0.26200610399246216,-1.4966236352920532,-1.49178946018219,-1.4876580238342285,0.0,1.0
8192,8,7,152.44941182708354,120.71428571428571,-0.0032083445810712876,86.44535961151124,-0.2210511788725853,0.0012931473131175153,0.0287353515625,0.46405711509287356,111.16568756103516,12.722929000854492,7.862143516540527,21.651683807373047,11.850220680236816,8.928755760192871,6.129574775695801,0.5598212937048892,0.9064765572547913,142.58071899414062,0.35,1.0,0.0,1.0,0.0,0.0,-0.006019111257046461,0.23230890929698944,0.0,0.25660228729248047,0.25836122035980225,0.2593145966529846,-1.4977703094482422,-1.4944863319396973,-1.4926912784576416,0.0,1.0
9216,9,9,147.35346169158862,121.0,-0.0043636439775582405,82.05568132400512,-0.23082679584622384,0.0035844906087731943,0.0384765625,0.4786360409110785,111.01339569091797,13.877872467041016,6.466158866882324,20.909414291381836,11.774444580078125,7.03154182434082,9.3682861328125,0.6984135229095509,0.9400087594985962,158.091552734375,0.425,1.0,0.0,1.0,0.0,0.0,-0.008681872859597206,0.23132506012916565,0.0,0.255629301071167,0.2570003271102905,0.25901684165000916,-1.4995940923690796,-1.4970110654830933,-1.4932485818862915,0.0,1.0
10240,10,7,146.43242372643286,125.0,-0.0019744319957681,65.3349536895752,-0.2352383628487587,0.002776539851038251,0.0164306640625,0.4304116915911436,102.69043006896973,11.694450378417969,6.60619592666626,23.925491333007812,11.521064758300781,12.231040000915527,8.580158233642578,0.6712106724913425,0.8675296306610107,164.45074462890625,0.275,1.0,0.0,1.0,0.0,0.0,-0.01088482141494751,0.2298605889081955,0.0,0.25534090399742126,0.25681087374687195,0.25888708233833313,-1.500134825706482,-1.4973958730697632,-1.4934914112091064,0.0,1.0
