candidate,value_normalization,gamma,gae_lambda,paired_seeds,finite_all_updates,hard_speed_accel_violations,critic_grad_clip_fraction_last50_mean,explained_variance_last50_mean,explained_variance_last50_std,normal_completion_count_mean,normal_completion_count_median,normal_completion_count_std,persistent_outage_count_mean,persistent_outage_count_median,persistent_outage_count_std,collision_count_mean,collision_count_median,collision_count_std,boundary_count_mean,boundary_count_median,boundary_count_std,mean_e2e_rate_mbps_mean,mean_e2e_rate_mbps_median,mean_e2e_rate_mbps_std,outage_step_ratio_mean,outage_step_ratio_median,outage_step_ratio_std,rate_satisfaction_ratio_mean,rate_satisfaction_ratio_median,rate_satisfaction_ratio_std,speed_accel_violations_mean,speed_accel_violations_median,speed_accel_violations_std
V0H0,False,0.99,0.95,"2026,2027,2028",True,0.0,1.0,0.9644153134100035,0.015617386868139618,0.0,0.0,0.0,4.333333333333333,4.0,2.8674417556808756,0.6666666666666666,1.0,0.4714045207910317,15.0,15.0,2.449489742783178,7.020897867463165,7.108387996622795,0.2312058029225845,0.04924764388786886,0.04560760284212127,0.019891058894067424,0.9253032690648848,0.9479473644577853,0.03797604051369901,0.0,0.0,0.0
V0H1,False,0.995,0.97,"2026,2027,2028",True,0.0,1.0,0.9611081308588599,0.0205121564239473,0.0,0.0,0.0,6.666666666666667,8.0,4.189935029992178,0.0,0.0,0.0,13.333333333333334,12.0,4.189935029992178,6.895098733322251,6.894715890715082,0.2714524172908674,0.060315452213768314,0.06558821715064206,0.03239311018514164,0.9104317618493143,0.9091956383136633,0.039105021984132335,0.0,0.0,0.0
V0H2,False,0.998,0.98,"2026,2027,2028",True,0.0,1.0,0.9501322369466492,0.026306355131565692,0.0,0.0,0.0,5.333333333333333,3.0,4.0276819911981905,1.3333333333333333,2.0,0.9428090415820634,13.333333333333334,15.0,4.642796092394707,7.036199791173089,6.991994385441849,0.2590775465340914,0.050071435253001076,0.05166513980334975,0.023714728323398614,0.928349606838706,0.9217370335321254,0.036063273014206476,0.0,0.0,0.0
V1H0,True,0.99,0.95,"2026,2027,2028",True,0.0,0.004833333333333334,0.9673377212256946,0.017586348989415846,0.0,0.0,0.0,4.0,6.0,2.8284271247461903,0.0,0.0,0.0,16.0,14.0,2.8284271247461903,6.9222248071813555,6.79363150212895,0.2192615721490608,0.05823925000077944,0.07587267477844432,0.025463200526661785,0.9225195027237572,0.9060374286884739,0.03621748051434337,0.0,0.0,0.0
V1H1,True,0.995,0.97,"2026,2027,2028",True,0.0,0.0085,0.9573307286805214,0.023526767651465764,0.0,0.0,0.0,13.0,18.0,8.524474568362947,1.0,1.0,0.816496580927726,6.0,0.0,8.48528137423857,6.696150811540533,6.414587458728822,0.44496317536171853,0.09909154829351399,0.13589088832083238,0.05480900846790821,0.8864956290280506,0.8532628097639682,0.06580142672579553,0.0,0.0,0.0
V1H2,True,0.998,0.98,"2026,2027,2028",True,0.0,0.009833333333333333,0.9368874923580822,0.03542356385522764,0.0,0.0,0.0,2.3333333333333335,1.0,1.8856180831641267,0.0,0.0,0.0,17.666666666666668,19.0,1.8856180831641267,7.2037541458959895,7.322720865893098,0.22467184332295903,0.029622766924677947,0.015112229102167182,0.02313487581813921,0.9574052094361636,0.9743123584862067,0.02713688294118845,0.0,0.0,0.0
