candidate,value_normalization,gamma,gae_lambda,run_seed,update,protocol_sha256,validation_seed_count,safety_priority_key,episodes,total_steps,normal_completion_count,collision_count,boundary_count,persistent_outage_count,speed_accel_violations,outage_step_ratio,rate_satisfaction_ratio,mean_e2e_rate_mbps,mean_return,mean_acceleration_mps2,action_saturation_ratio,movement_distance_m,min_link_margin_db,min_separation_m,max_xy_speed_mps,max_abs_z_speed_mps,max_xy_accel_mps2,max_abs_z_accel_mps2
V0H1,False,0.995,0.97,2028,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,16.0,4.0,0.05131985667773986,-0.943452679833927,-7.072999011226261]",20,2925,0,0,16,4,0,0.05131985667773986,0.943452679833927,7.072999011226261,159.72029883202146,0.34413082313115423,0.0,624.7539492215252,-1.4327911148272228,63.50009704454966,19.599582756965855,5.0,0.6700670551238302,0.557296156883238
V0H1,False,0.995,0.97,2028,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,17.0,3.0,0.03434821416766738,-0.948672578191408,-7.157731119092882]",20,3269,0,0,17,3,0,0.03434821416766738,0.948672578191408,7.157731119092882,183.47099749868465,0.3099869683212356,0.0,521.499688572347,-0.9926570028107609,42.83447537434401,20.000000000000004,6.0,1.1993908740262964,0.7331946492195129
V0H1,False,0.995,0.97,2028,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,17.0,3.0,0.02274731802145583,-0.9538317362355186,-7.229684049473823]",20,3110,0,0,17,3,0,0.02274731802145583,0.9538317362355186,7.229684049473823,177.6642479791922,0.3718676760417775,0.0,560.0713807890776,-1.3395337784595407,68.46378230671188,17.161198094855887,6.0,1.044076851625504,0.5762845873832712
V0H1,False,0.995,0.97,2028,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,19.0,1.0,0.01826944092646984,-0.958931533230756,-7.227749945206947]",20,3238,0,0,19,1,0,0.01826944092646984,0.958931533230756,7.227749945206947,187.07352242127828,0.3763627856491257,0.0,579.5358293704894,-1.0954330983370748,62.91242730676435,16.86863541132367,6.0,1.078599962405788,0.7364318966865557
V0H2,False,0.998,0.98,2026,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,18.0,2.0,0.03513915177455147,-0.9497887313146824,-7.162782661132144]",20,3040,0,0,18,2,0,0.03513915177455147,0.9497887313146824,7.162782661132144,170.91302423476708,0.2936333697533508,0.0,599.00404796113,-24.392216818509663,48.88881647426479,16.640148849420534,5.0,0.5479380985424365,0.3428322970867148
V0H2,False,0.998,0.98,2026,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,13.0,7.0,0.069507351936945,-0.9248851714275409,-6.9450466237340835]",20,3229,0,0,13,7,0,0.069507351936945,0.9248851714275409,6.9450466237340835,173.04732020402577,0.3063426172691411,0.0,528.7028883669797,-1.4014048235624852,73.01368908327927,17.03009069538374,6.0,0.7145021708207465,0.39607506990432917
V0H2,False,0.998,0.98,2026,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,15.0,5.0,0.05513416571059622,-0.9432792958278654,-7.09279158320083]",20,2817,0,1,14,5,0,0.05513416571059622,0.9432792958278654,7.09279158320083,154.4096961230851,0.40586222726266674,0.0,573.703650975616,-1.5129094363882656,18.169363068586033,17.396331894718763,6.0,0.8721023710458439,0.5345432758331281
V0H2,False,0.998,0.98,2026,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,18.0,2.0,0.020262902769097795,-0.9754513829451879,-7.373288484608588]",20,3007,0,0,18,2,0,0.020262902769097795,0.9754513829451879,7.373288484608588,175.49908799814196,0.34045742759575875,0.0,489.1885518151392,-1.194841922758581,24.032204641798558,15.77383548632552,6.0,0.8638404200510559,0.5640748739242554
V0H2,False,0.998,0.98,2027,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,20.0,0.0,0.006465517241379311,-0.9868380541871922,-7.43893427003411]",20,2196,0,0,20,0,0,0.006465517241379311,0.9868380541871922,7.43893427003411,130.30815498687463,0.4454494440594501,0.0,450.72107642310476,-2.3322456318977998,74.15648341546894,12.125337678584367,6.0,0.5586950049426233,0.6463947892189026
V0H2,False,0.998,0.98,2027,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,2.0,18.0,0.10714258444698468,-0.8562614466089078,-6.502504911722039]",20,4631,0,0,2,18,0,0.10714258444698468,0.8562614466089078,6.502504911722039,223.5205367830061,0.2677542349578195,0.0,1060.5576419558097,-1.7747727391837054,35.08455301816446,20.000000000000007,3.537919103656895,0.8333586617392907,0.4670431315898896
